half length dipole (theta, phi, g_theta, arg_theta, g_phi, arg_phi)
37 72
95 20 2.10234 0 -300 0
100 20 1.95664 0 -300 0
105 20 1.71349 0 -300 0
110 20 1.37226 0 -300 0
115 20 0.931785 0 -300 0
120 20 0.389968 0 -300 0
125 20 -0.256698 0 -300 0
130 20 -1.01393 0 -300 0
135 20 -1.89085 0 -300 0
140 20 -2.9018 0 -300 0
145 20 -4.06942 0 -300 0
150 20 -5.42988 0 -300 0
155 20 -7.043 0 -300 0
160 20 -9.01334 0 -300 0
165 20 -11.5423 0 -300 0
170 20 -15.0885 0 -300 0
175 20 -21.1249 0 -300 0
180 20 -3.86972 0 -300 0
0 25 -300 0 -300 0
5 25 -21.1249 0 -300 0
10 25 -15.0885 0 -300 0
15 25 -11.5423 0 -300 0
20 25 -9.01334 0 -300 0
25 25 -7.043 0 -300 0
30 25 -5.42988 0 -300 0
35 25 -4.06942 0 -300 0
40 25 -2.9018 0 -300 0
45 25 -1.89085 0 -300 0
50 25 -1.01393 0 -300 0
55 25 -0.256698 0 -300 0
60 25 0.389968 0 -300 0
65 25 0.931785 0 -300 0
70 25 1.37226 0 -300 0
75 25 1.71349 0 -300 0
80 25 1.95664 0 -300 0
85 25 2.10234 0 -300 0
90 25 2.15088 0 -300 0
95 25 2.10234 0 -300 0
100 25 1.95664 0 -300 0
105 25 1.71349 0 -300 0
110 25 1.37226 0 -300 0
115 25 0.931785 0 -300 0
120 25 0.389968 0 -300 0
125 25 -0.256698 0 -300 0
130 25 -1.01393 0 -300 0
135 25 -1.89085 0 -300 0
140 25 -2.9018 0 -300 0
145 25 -4.06942 0 -300 0
150 25 -5.42988 0 -300 0
155 25 -7.043 0 -300 0
160 25 -9.01334 0 -300 0
165 25 -11.5423 0 -300 0
170 25 -15.0885 0 -300 0
175 25 -21.1249 0 -300 0
180 25 -3.86972 0 -300 0
0 30 -300 0 -300 0
5 30 -21.1249 0 -300 0
10 30 -15.0885 0 -300 0
15 30 -11.5423 0 -300 0
20 30 -9.01334 0 -300 0
25 30 -7.043 0 -300 0
30 30 -5.42988 0 -300 0
35 30 -4.06942 0 -300 0
40 30 -2.9018 0 -300 0
45 30 -1.89085 0 -300 0
50 30 -1.01393 0 -300 0
55 30 -0.256698 0 -300 0
60 30 0.389968 0 -300 0
65 30 0.931785 0 -300 0
70 30 1.37226 0 -300 0
75 30 1.71349 0 -300 0
80 30 1.95664 0 -300 0
85 30 2.10234 0 -300 0
90 30 2.15088 0 -300 0
95 30 2.10234 0 -300 0
100 30 1.95664 0 -300 0
105 30 1.71349 0 -300 0
110 30 1.37226 0 -300 0
115 30 0.931785 0 -300 0
120 30 0.389968 0 -300 0
125 30 -0.256698 0 -300 0
130 30 -1.01393 0 -300 0
135 30 -1.89085 0 -300 0
140 30 -2.9018 0 -300 0
145 30 -4.06942 0 -300 0
150 30 -5.42988 0 -300 0
155 30 -7.043 0 -300 0
160 30 -9.01334 0 -300 0
165 30 -11.5423 0 -300 0
170 30 -15.0885 0 -300 0
175 30 -21.1249 0 -300 0
180 30 -3.86972 0 -300 0
0 35 -300 0 -300 0
5 35 -21.1249 0 -300 0
10 35 -15.0885 0 -300 0
15 35 -11.5423 0 -300 0
20 35 -9.01334 0 -300 0
25 35 -7.043 0 -300 0
30 35 -5.42988 0 -300 0
35 35 -4.06942 0 -300 0
40 35 -2.9018 0 -300 0
45 35 -1.89085 0 -300 0
50 35 -1.01393 0 -300 0
55 35 -0.256698 0 -300 0
60 35 0.389968 0 -300 0
65 35 0.931785 0 -300 0
70 35 1.37226 0 -300 0
75 35 1.71349 0 -300 0
80 35 1.95664 0 -300 0
85 35 2.10234 0 -300 0
90 35 2.15088 0 -300 0
95 35 2.10234 0 -300 0
100 35 1.95664 0 -300 0
105 35 1.71349 0 -300 0
110 35 1.37226 0 -300 0
115 35 0.931785 0 -300 0
120 35 0.389968 0 -300 0
125 35 -0.256698 0 -300 0
130 35 -1.01393 0 -300 0
135 35 -1.89085 0 -300 0
140 35 -2.9018 0 -300 0
145 35 -4.06942 0 -300 0
150 35 -5.42988 0 -300 0
155 35 -7.043 0 -300 0
160 35 -9.01334 0 -300 0
165 35 -11.5423 0 -300 0
170 35 -15.0885 0 -300 0
175 35 -21.1249 0 -300 0
180 35 -3.86972 0 -300 0
0 40 -300 0 -300 0
5 40 -21.1249 0 -300 0
10 40 -15.0885 0 -300 0
15 40 -11.5423 0 -300 0
20 40 -9.01334 0 -300 0
25 40 -7.043 0 -300 0
30 40 -5.42988 0 -300 0
35 40 -4.06942 0 -300 0
40 40 -2.9018 0 -300 0
45 40 -1.89085 0 -300 0
50 40 -1.01393 0 -300 0
55 40 -0.256698 0 -300 0
60 40 0.389968 0 -300 0
65 40 0.931785 0 -300 0
70 40 1.37226 0 -300 0
75 40 1.71349 0 -300 0
80 40 1.95664 0 -300 0
85 40 2.10234 0 -300 0
90 40 2.15088 0 -300 0
95 40 2.10234 0 -300 0
100 40 1.95664 0 -300 0
105 40 1.71349 0 -300 0
110 40 1.37226 0 -300 0
115 40 0.931785 0 -300 0
120 40 0.389968 0 -300 0
125 40 -0.256698 0 -300 0
130 40 -1.01393 0 -300 0
135 40 -1.89085 0 -300 0
140 40 -2.9018 0 -300 0
145 40 -4.06942 0 -300 0
150 40 -5.42988 0 -300 0
155 40 -7.043 0 -300 0
160 40 -9.01334 0 -300 0
165 40 -11.5423 0 -300 0
170 40 -15.0885 0 -300 0
175 40 -21.1249 0 -300 0
180 40 -3.86972 0 -300 0
0 45 -300 0 -300 0
5 45 -21.1249 0 -300 0
10 45 -15.0885 0 -300 0
15 45 -11.5423 0 -300 0
20 45 -9.01334 0 -300 0
25 45 -7.043 0 -300 0
30 45 -5.42988 0 -300 0
35 45 -4.06942 0 -300 0
40 45 -2.9018 0 -300 0
45 45 -1.89085 0 -300 0
50 45 -1.01393 0 -300 0
55 45 -0.256698 0 -300 0
60 45 0.389968 0 -300 0
65 45 0.931785 0 -300 0
70 45 1.37226 0 -300 0
75 45 1.71349 0 -300 0
80 45 1.95664 0 -300 0
85 45 2.10234 0 -300 0
90 45 2.15088 0 -300 0
95 45 2.10234 0 -300 0
100 45 1.95664 0 -300 0
105 45 1.71349 0 -300 0
110 45 1.37226 0 -300 0
115 45 0.931785 0 -300 0
120 45 0.389968 0 -300 0
125 45 -0.256698 0 -300 0
130 45 -1.01393 0 -300 0
135 45 -1.89085 0 -300 0
140 45 -2.9018 0 -300 0
145 45 -4.06942 0 -300 0
150 45 -5.42988 0 -300 0
